terminal_level,known_density,fitted_density
1.963470623813413340e+03,3.539476010191710660e-17,3.642762591860887477e-19
1.964047793530791523e+03,3.597125116841712540e-17,3.642762591860887477e-19
1.964624963248169706e+03,3.655680044961333702e-17,3.642762591860887477e-19
1.965202132965547889e+03,3.715154494077744723e-17,3.642762591860887477e-19
1.965779302682926073e+03,3.775562362622032990e-17,3.642762591860887477e-19
1.966356472400304028e+03,3.836917750692795689e-17,3.642762591860887477e-19
1.966933642117682211e+03,3.899234962857122337e-17,3.642762591860887477e-19
1.967510811835060395e+03,3.962528510987662769e-17,3.642762591860887477e-19
1.968087981552438578e+03,4.026813117138143470e-17,3.642762591860887477e-19
1.968665151269816761e+03,4.092103716456415804e-17,3.642762591860887477e-19
1.969242320987194944e+03,4.158415460135955062e-17,3.642762591860887477e-19
1.969819490704573127e+03,4.225763718406743995e-17,3.642762591860887477e-19
1.970396660421951310e+03,4.294164083565361510e-17,3.642762591860887477e-19
1.970973830139329493e+03,4.363632373044765856e-17,3.642762591860887477e-19
1.971550999856707676e+03,4.434184632525236012e-17,3.642762591860887477e-19
1.972128169574085859e+03,4.505837139085623253e-17,3.642762591860887477e-19
1.972705339291464043e+03,4.578606404396234849e-17,3.642762591860887477e-19
1.973282509008841998e+03,4.652509177954270647e-17,3.642762591860887477e-19
1.973859678726220181e+03,4.727562450360977451e-17,3.642762591860887477e-19
1.974436848443598365e+03,4.803783456642138369e-17,3.642762591860887477e-19
1.975014018160976548e+03,4.881189679612624972e-17,3.642762591860887477e-19
1.975591187878354731e+03,4.959798853284264076e-17,3.642762591860887477e-19
1.976168357595732914e+03,5.039628966319330887e-17,3.642762591860887477e-19
1.976745527313111097e+03,5.120698265528115436e-17,3.642762591860887477e-19
1.977322697030489280e+03,5.203025259413548257e-17,3.642762591860887477e-19
1.977899866747867463e+03,5.286628721761393886e-17,3.642762591860887477e-19
1.978477036465245419e+03,5.371527695277370480e-17,3.642762591860887477e-19
1.979054206182623602e+03,5.457741495272308612e-17,3.642762591860887477e-19
1.979631375900001785e+03,5.545289713395188364e-17,3.642762591860887477e-19
1.980208545617379968e+03,5.634192221414549625e-17,3.642762591860887477e-19
1.980785715334758152e+03,5.724469175049806470e-17,3.642762591860887477e-19
1.981362885052136335e+03,5.816141017852073644e-17,3.642762591860887477e-19
1.981940054769514518e+03,5.909228485135700795e-17,3.642762591860887477e-19
1.982517224486892701e+03,6.003752607960826270e-17,3.642762591860887477e-19
1.983094394204270884e+03,6.099734717168286018e-17,3.642762591860887477e-19
1.983671563921649067e+03,6.197196447465734349e-17,3.642762591860887477e-19
1.984248733639027250e+03,6.296159741568641070e-17,3.642762591860887477e-19
1.984825903356405433e+03,6.396646854393119241e-17,3.642762591860887477e-19
1.985403073073783389e+03,6.498680357304593195e-17,3.642762591860887477e-19
1.985980242791161572e+03,6.602283142421220895e-17,3.642762591860887477e-19
1.986557412508539755e+03,6.707478426972049682e-17,3.642762591860887477e-19
1.987134582225917939e+03,6.814289757713272866e-17,3.642762591860887477e-19
1.987711751943296122e+03,6.922741015400282192e-17,3.642762591860887477e-19
