case_id,benchmark,coverage,repetition,method,forward_shift,penalty,validation_rmse,mean_full_density_l1,tail_error_pp,tail_absolute_error_pp
lognormal_extended_r18_f+50,lognormal,extended,18,forward,0.005,1e-06,14.314660367228356,0.16315508566534387,0.011639401578124103,0.011639401578124103
lognormal_extended_r18_f-10,lognormal,extended,18,forward,-0.001,1e-06,0.4768710537689132,0.042120008314374596,0.011143919763153577,0.011143919763153577
lognormal_extended_r18_f-50,lognormal,extended,18,forward,-0.005,1e-06,2.9202371209732623,0.08187254892961385,0.011574529341963798,0.011574529341963798
lognormal_extended_r19_f+10,lognormal,extended,19,forward,0.001,1e-06,2.4960110311354344,0.05645119261046587,0.003372178622567659,0.003372178622567659
lognormal_extended_r19_f+50,lognormal,extended,19,forward,0.005,1e-06,14.314433094747908,0.1624326839173643,0.0035714159492110983,0.0035714159492110983
lognormal_extended_r19_f-10,lognormal,extended,19,forward,-0.001,1e-06,0.4775238520195233,0.04186740287302413,0.00333116853646195,0.00333116853646195
lognormal_extended_r19_f-50,lognormal,extended,19,forward,-0.005,1e-06,2.920097137125083,0.0828065066526309,0.003872531081782404,0.003872531081782404
mixture_extended_r00_f+10,mixture,extended,0,forward,0.001,1e-07,1.0514515837165088,0.08147772008001877,0.060509972210497434,0.060509972210497434
mixture_extended_r00_f+50,mixture,extended,0,forward,0.005,1e-07,10.271305185367966,0.14612318834865734,0.08246760741391253,0.08246760741391253
mixture_extended_r00_f-10,mixture,extended,0,forward,-0.001,1e-07,0.20733337481728722,0.0718475234425536,0.052894093250215046,0.052894093250215046
mixture_extended_r00_f-50,mixture,extended,0,forward,-0.005,1e-07,1.7650828664594171,0.10619525911762845,0.034585153564710425,0.034585153564710425
mixture_extended_r01_f+10,mixture,extended,1,forward,0.001,1e-07,1.0523198752965026,0.08373135977650237,-0.01354102254299723,0.01354102254299723
mixture_extended_r01_f+50,mixture,extended,1,forward,0.005,1e-07,10.271342940404447,0.14712203454505857,0.003911250096083445,0.003911250096083445
mixture_extended_r01_f-10,mixture,extended,1,forward,-0.001,1e-07,0.2104897557964477,0.07354242009557177,-0.023403387459035828,0.023403387459035828
mixture_extended_r01_f-50,mixture,extended,1,forward,-0.005,1e-07,1.7654371075657704,0.10850053102780405,-0.04375942237495531,0.04375942237495531
mixture_extended_r02_f+10,mixture,extended,2,forward,0.001,1e-07,1.0523051307377151,0.08264106809735161,-0.026134997949263036,0.026134997949263036
mixture_extended_r02_f+50,mixture,extended,2,forward,0.005,1e-07,10.271322071047313,0.14839794573495596,-0.011318444170502207,0.011318444170502207
mixture_extended_r02_f-10,mixture,extended,2,forward,-0.001,1e-07,0.21129184468966222,0.07282772389707012,-0.03697498600864577,0.03697498600864577
mixture_extended_r02_f-50,mixture,extended,2,forward,-0.005,1e-07,1.7651794471062068,0.10960530005026262,-0.04914841825519097,0.04914841825519097
