horizon_days,left_edge,right_edge,legacy_mass,control_mass,joint_mass
1.200000000000000000e+02,8.615522297362678728e+03,8.711306336947167438e+03,8.407295990914120519e-05,8.408281981779313209e-05,7.303807766820921319e-05
1.200000000000000000e+02,8.711306336947167438e+03,8.807090376531656148e+03,3.162356318438354011e-05,3.162076077521031769e-05,5.935006223579188415e-05
1.200000000000000000e+02,8.807090376531656148e+03,8.902874416116144857e+03,7.058020853302239313e-06,7.061126073997883654e-06,7.038736936682423817e-05
1.200000000000000000e+02,8.902874416116144857e+03,8.998658455700631748e+03,0.000000000000000000e+00,-1.040085875191251171e-11,9.283117949338184742e-05
1.200000000000000000e+02,8.998658455700631748e+03,9.094442495285120458e+03,2.861598053167537046e-20,-1.271871521008023520e-11,1.152061464508170034e-04
1.200000000000000000e+02,9.094442495285120458e+03,9.190226534869609168e+03,2.396733245956316715e-08,2.516996907090996018e-09,1.286072807974373146e-04
1.200000000000000000e+02,9.190226534869609168e+03,9.286010574454097878e+03,3.197986595748659859e-08,4.355083241729037620e-09,1.274295273991814313e-04
1.200000000000000000e+02,9.286010574454097878e+03,9.381794614038586587e+03,7.502973145945180452e-09,8.137416582836230551e-10,1.100996762603584529e-04
1.200000000000000000e+02,9.381794614038586587e+03,9.477578653623075297e+03,7.700682162409642504e-09,3.759157448420261180e-11,7.980942789608815816e-05
1.200000000000000000e+02,9.477578653623075297e+03,9.573362693207564007e+03,1.967980997554884601e-08,1.047779875979130296e-08,4.512474700634276604e-05
1.200000000000000000e+02,9.573362693207564007e+03,9.669146732792050898e+03,4.068666619657718133e-08,3.503629479585410281e-08,1.666624018929430899e-05
1.200000000000000000e+02,9.669146732792050898e+03,9.764930772376539608e+03,8.127193633449380805e-08,6.565350210277287012e-08,1.907744499554379805e-06
1.200000000000000000e+02,9.764930772376539608e+03,9.860714811961028317e+03,9.732563223501348264e-08,9.106217835150925871e-08,-2.127212094748236885e-13
1.200000000000000000e+02,9.860714811961028317e+03,9.956498851545517027e+03,1.139299018358510403e-07,1.012482043235452975e-07,6.108996338322357456e-14
1.200000000000000000e+02,9.956498851545517027e+03,1.005228289113000574e+04,1.169280518366923819e-07,9.281938545535915444e-08,4.481105571363437810e-14
