case_id,benchmark,coverage,amplitude,repetition,days,validation_rmse,full_density_l1,below_0_8_forward,above_1_2_forward,above_1_8_forward,normalised_variance,known_below_0_8_forward,known_above_1_2_forward,known_above_1_8_forward,known_normalised_variance
mixture_sparse_a1_r24,mixture,sparse,0.1,24,300,0.41426524276503995,0.04119405695454957,0.11688703975901736,0.11198809255200584,0.009254714633635648,0.04668012873725358,0.11683927305409603,0.1118526225060108,0.008940648254429933,0.04731646597038387
mixture_sparse_a1_r24,mixture,sparse,0.1,24,365,0.328563952809017,0.045627831710672376,0.13788208412777822,0.12749927163625968,0.012930141471640186,0.056674810050236335,0.13788288951261907,0.1277329330250726,0.011885496979341553,0.05822272356993101
mixture_sparse_a1_r25,mixture,sparse,0.1,25,30,0.5474756072734334,0.09337349680773949,0.007256561544763517,0.015090004975847657,6.515868659217254e-12,0.00443476340648985,0.007369611340624764,0.012441093072208736,2.7300738522736983e-08,0.004518576768047543
mixture_sparse_a1_r25,mixture,sparse,0.1,25,60,0.2415564684474194,0.054018489823660046,0.026155529810019073,0.029191911225520537,2.1732054096001e-09,0.008995209932395332,0.024457677081192418,0.02895841477614615,2.6377807968926344e-05,0.009082911152477561
mixture_sparse_a1_r25,mixture,sparse,0.1,25,90,0.24005436074019645,0.04294148372417882,0.03935397260949885,0.04157427869178974,0.00011556848920804783,0.013652072977857532,0.038783706826076556,0.0415837108951731,0.0002779813074339507,0.013693586207532478
mixture_sparse_a1_r25,mixture,sparse,0.1,25,120,0.25562473006158176,0.04000075347608504,0.050881922040928874,0.053080326595447896,9.84447106432674e-05,0.01813402663653596,0.051150675782629516,0.05318238613221769,0.0009272247952358108,0.018351192669116022
mixture_sparse_a1_r25,mixture,sparse,0.1,25,180,0.15562261723083762,0.03191313647005608,0.07397303490971671,0.07510707209256157,0.0038270339339070312,0.027645500293392855,0.07403713869332912,0.07508588197205285,0.0031938592034413188,0.027809601774899727
mixture_sparse_a1_r25,mixture,sparse,0.1,25,240,0.1282787477426195,0.03259930929430847,0.09622375425677283,0.09441857529761172,0.00792466443292044,0.03696035769205408,0.09598528689944674,0.09474501957624087,0.00604275442082521,0.03746302188589668
mixture_sparse_a1_r25,mixture,sparse,0.1,25,300,1.0373083201452056,0.03781567604786237,0.11716726109060178,0.11193647553673045,0.013187491124220175,0.04590760876900846,0.11683927305409603,0.1118526225060108,0.008940648254429933,0.04731646597038387
mixture_sparse_a1_r25,mixture,sparse,0.1,25,365,0.3796077148439472,0.044271672502639005,0.13805316664402806,0.12782999718927823,0.013182315605031995,0.05657067854631648,0.13788288951261907,0.1277329330250726,0.011885496979341553,0.05822272356993101
mixture_sparse_a1_r26,mixture,sparse,0.1,26,30,0.5282548444731958,0.09214205408507589,0.006989348079571806,0.014963294087197128,1.4544320855737337e-12,0.0044366309684555905,0.007369611340624764,0.012441093072208736,2.7300738522736983e-08,0.004518576768047543
mixture_sparse_a1_r26,mixture,sparse,0.1,26,60,0.2034226854556724,0.052224020245930876,0.025969336488687156,0.028847745173915123,2.2576268465098384e-09,0.009054445526048172,0.024457677081192418,0.02895841477614615,2.6377807968926344e-05,0.009082911152477561
mixture_sparse_a1_r26,mixture,sparse,0.1,26,90,0.4435831289380864,0.050264063183376326,0.038933833338424484,0.04167901626620088,0.001674211920329055,0.014362595153581292,0.038783706826076556,0.0415837108951731,0.0002779813074339507,0.013693586207532478
mixture_sparse_a1_r26,mixture,sparse,0.1,26,120,0.40920452372013255,0.04321949036194298,0.05119176228927244,0.053076123862043335,0.0021948491194563944,0.01892934084882869,0.051150675782629516,0.05318238613221769,0.0009272247952358108,0.018351192669116022
mixture_sparse_a1_r26,mixture,sparse,0.1,26,180,0.259774627746664,0.03467570838884464,0.07385303135290619,0.07488249326258531,0.0033787766823719454,0.027870275393618416,0.07403713869332912,0.07508588197205285,0.0031938592034413188,0.027809601774899727
mixture_sparse_a1_r26,mixture,sparse,0.1,26,240,0.7138396834942092,0.04155131955899148,0.0961792378816008,0.09479765534734821,0.00721598938434156,0.03743764867079613,0.09598528689944674,0.09474501957624087,0.00604275442082521,0.03746302188589668
mixture_sparse_a1_r26,mixture,sparse,0.1,26,300,0.6429004405528607,0.032972765808102995,0.1169655480650848,0.1118962289972191,0.011007940029040236,0.046243344088903626,0.11683927305409603,0.1118526225060108,0.008940648254429933,0.04731646597038387
mixture_sparse_a1_r26,mixture,sparse,0.1,26,365,0.29254716137418113,0.04532221490648595,0.1378509319204861,0.12767248633274994,0.013049705655095441,0.056658486621740556,0.13788288951261907,0.1277329330250726,0.011885496979341553,0.05822272356993101
mixture_sparse_a1_r27,mixture,sparse,0.1,27,30,0.5077841471398418,0.09258542210939448,0.006829940825261081,0.015052496977648693,3.383906438275581e-12,0.004436845699324676,0.007369611340624764,0.012441093072208736,2.7300738522736983e-08,0.004518576768047543
mixture_sparse_a1_r27,mixture,sparse,0.1,27,60,0.2991795204655166,0.0559899197014873,0.02662480568125996,0.028828233653935015,5.833377121215796e-10,0.00898678473923109,0.024457677081192418,0.02895841477614615,2.6377807968926344e-05,0.009082911152477561
mixture_sparse_a1_r27,mixture,sparse,0.1,27,90,0.19870092855916466,0.04308719652422763,0.03887144221675172,0.04151982178859456,2.4035482800871694e-09,0.013550544715523527,0.038783706826076556,0.0415837108951731,0.0002779813074339507,0.013693586207532478
mixture_sparse_a1_r27,mixture,sparse,0.1,27,120,0.12709239540622652,0.037083773646299285,0.051068334714954845,0.053027140570605785,0.001263493711073725,0.018450171286804595,0.051150675782629516,0.05318238613221769,0.0009272247952358108,0.018351192669116022
mixture_sparse_a1_r27,mixture,sparse,0.1,27,180,0.4999621580828472,0.03893868409648135,0.07404483906024939,0.07514136716038182,0.0047539042775077145,0.02807464334069576,0.07403713869332912,0.07508588197205285,0.0031938592034413188,0.027809601774899727
mixture_sparse_a1_r27,mixture,sparse,0.1,27,240,0.3475234745540731,0.030528804329593304,0.09606062173725241,0.09471799904550672,0.006712550649380821,0.03691817089025484,0.09598528689944674,0.09474501957624087,0.00604275442082521,0.03746302188589668
mixture_sparse_a1_r27,mixture,sparse,0.1,27,300,0.2093766503965058,0.03805949644699423,0.11695555552762846,0.11168373804867501,0.009396665291472595,0.04661292458860289,0.11683927305409603,0.1118526225060108,0.008940648254429933,0.04731646597038387
mixture_sparse_a1_r27,mixture,sparse,0.1,27,365,0.9260222470283359,0.03880761986110543,0.1381999908003529,0.12779676865979514,0.01574721775346823,0.056314396365145125,0.13788288951261907,0.1277329330250726,0.011885496979341553,0.05822272356993101
mixture_sparse_a1_r28,mixture,sparse,0.1,28,30,0.5245001108451285,0.09255516726918361,0.00710544543564274,0.014946598323696762,1.6271369965777538e-12,0.004436911105729191,0.007369611340624764,0.012441093072208736,2.7300738522736983e-08,0.004518576768047543
mixture_sparse_a1_r28,mixture,sparse,0.1,28,60,0.269635182655697,0.054449378726445154,0.026238600258156296,0.029286850370936264,3.8260457827020904e-10,0.008984465373290673,0.024457677081192418,0.02895841477614615,2.6377807968926344e-05,0.009082911152477561
