horizon_days,left_edge,right_edge,probability_mass
6.000000000000000000e+01,2.665933409426284470e+03,2.761324623699541462e+03,5.759959013008568198e-19
6.000000000000000000e+01,2.761324623699541462e+03,2.856715837972798454e+03,0.000000000000000000e+00
6.000000000000000000e+01,2.856715837972798454e+03,2.952107052246055446e+03,9.879315021298219969e-20
6.000000000000000000e+01,2.952107052246055446e+03,3.047498266519311983e+03,2.140998707664886557e-19
6.000000000000000000e+01,3.047498266519311983e+03,3.142889480792568975e+03,0.000000000000000000e+00
6.000000000000000000e+01,3.142889480792568975e+03,3.238280695065825967e+03,0.000000000000000000e+00
6.000000000000000000e+01,3.238280695065825967e+03,3.333671909339082958e+03,0.000000000000000000e+00
6.000000000000000000e+01,3.333671909339082958e+03,3.429063123612339950e+03,0.000000000000000000e+00
6.000000000000000000e+01,3.429063123612339950e+03,3.524454337885596942e+03,0.000000000000000000e+00
6.000000000000000000e+01,3.524454337885596942e+03,3.619845552158853934e+03,5.559976595123111681e-20
6.000000000000000000e+01,3.619845552158853934e+03,3.715236766432110471e+03,0.000000000000000000e+00
6.000000000000000000e+01,3.715236766432110471e+03,3.810627980705367463e+03,0.000000000000000000e+00
6.000000000000000000e+01,3.810627980705367463e+03,3.906019194978624455e+03,5.804186798628250839e-19
6.000000000000000000e+01,3.906019194978624455e+03,4.001410409251881447e+03,0.000000000000000000e+00
6.000000000000000000e+01,4.001410409251881447e+03,4.096801623525137984e+03,0.000000000000000000e+00
6.000000000000000000e+01,4.096801623525137984e+03,4.192192837798394976e+03,0.000000000000000000e+00
6.000000000000000000e+01,4.192192837798394976e+03,4.287584052071651968e+03,0.000000000000000000e+00
6.000000000000000000e+01,4.287584052071651968e+03,4.382975266344908960e+03,0.000000000000000000e+00
6.000000000000000000e+01,4.382975266344908960e+03,4.478366480618165951e+03,5.826331027733007787e-19
6.000000000000000000e+01,4.478366480618165951e+03,4.573757694891422943e+03,0.000000000000000000e+00
6.000000000000000000e+01,4.573757694891422943e+03,4.669148909164679935e+03,1.052635403357441774e-04
6.000000000000000000e+01,4.669148909164679935e+03,4.764540123437936927e+03,6.449207050538694527e-04
6.000000000000000000e+01,4.764540123437936927e+03,4.859931337711193919e+03,1.914037650678567610e-03
6.000000000000000000e+01,4.859931337711193919e+03,4.955322551984450911e+03,4.172194087998261185e-03
6.000000000000000000e+01,4.955322551984450911e+03,5.050713766257707903e+03,7.642192449224705954e-03
6.000000000000000000e+01,5.050713766257707903e+03,5.146104980530963985e+03,1.250954120797929774e-02
6.000000000000000000e+01,5.146104980530963985e+03,5.241496194804220977e+03,1.884300307095619284e-02
6.000000000000000000e+01,5.241496194804220977e+03,5.336887409077477969e+03,2.651624719731981647e-02
6.000000000000000000e+01,5.336887409077477969e+03,5.432278623350734961e+03,3.536143526105387652e-02
6.000000000000000000e+01,5.432278623350734961e+03,5.527669837623991953e+03,4.504433298608897379e-02
