benchmark,setting,horizon_days,left_edge,right_edge,mass
lognormal,baseline,60,3238.2806950658255,3333.671909339083,1.1091349599624568e-11
lognormal,baseline,60,3333.671909339083,3429.063123612339,8.49278694922262e-06
lognormal,baseline,60,3429.063123612339,3524.454337885596,2.300683015671068e-05
lognormal,baseline,60,3524.454337885596,3619.8455521588535,3.5172274244976346e-05
lognormal,baseline,60,3619.8455521588535,3715.2367664321105,4.438245557257447e-05
lognormal,baseline,60,3715.2367664321105,3810.6279807053675,5.455658574080004e-05
lognormal,baseline,60,3810.6279807053675,3906.0191949786245,7.056297795177924e-05
lognormal,baseline,60,3906.0191949786245,4001.410409251881,9.464227334652027e-05
lognormal,baseline,60,4001.410409251881,4096.801623525137,0.00012283066997780296
lognormal,baseline,60,4096.801623525137,4192.192837798394,0.00014163635679602697
lognormal,baseline,60,4192.192837798394,4287.584052071652,0.00013464515175451642
lognormal,baseline,60,4287.584052071652,4382.975266344909,9.43817965767577e-05
lognormal,baseline,60,4382.975266344909,4478.366480618166,3.417125319673501e-05
lognormal,baseline,60,4478.366480618166,4573.757694891423,7.453882482814274e-13
lognormal,baseline,60,4573.757694891423,4669.148909164679,8.222216877414344e-05
lognormal,baseline,60,4669.148909164679,4764.540123437936,0.0005782209778309866
lognormal,baseline,60,4764.540123437936,4859.931337711193,0.001793978689043431
lognormal,baseline,60,4859.931337711193,4955.32255198445,0.004018447597356297
lognormal,baseline,60,4955.32255198445,5050.713766257707,0.007497921025977454
lognormal,baseline,60,5050.713766257707,5146.104980530964,0.01241274697275262
lognormal,baseline,60,5146.104980530964,5241.496194804221,0.018803913488551042
lognormal,baseline,60,5241.496194804221,5336.887409077478,0.026519392988837317
lognormal,baseline,60,5336.887409077478,5432.278623350734,0.03538174974373558
lognormal,baseline,60,5432.278623350734,5527.669837623991,0.04506212419315759
lognormal,baseline,60,5527.669837623991,5623.061051897248,0.055026825698699926
lognormal,baseline,60,5623.061051897248,5718.452266170505,0.06438264620541442
lognormal,baseline,60,5718.452266170505,5813.843480443762,0.07204470077248822
lognormal,baseline,60,5813.843480443762,5909.234694717019,0.07701806537676233
lognormal,baseline,60,5909.234694717019,6004.625908990276,0.07871379725494154
lognormal,baseline,60,6004.625908990276,6100.017123263532,0.07717665652730632
lognormal,baseline,60,6100.017123263532,6195.408337536789,0.07298603744874592
lognormal,baseline,60,6195.408337536789,6290.799551810046,0.0667774391126075
lognormal,baseline,60,6290.799551810046,6386.190766083303,0.05914907810628443
